What is your level of interest in each of the following topics? [Handling tabular data],What is your level of interest in each of the following topics? [Matrix algebra],What is your level of interest in each of the following topics? [Handling image and video data],What is your level of interest in each of the following topics? [Image classification],What is your level of interest in each of the following topics? [Linear programming],What is your level of interest in each of the following topics? [How to make a basic web app],What is your level of interest in each of the following topics? [Handling genetic data],What is your level of interest in each of the following topics? [Statistical hypothesis testing],What is your level of interest in each of the following topics? [R programming],What is your level of interest in each of the following topics? [Python programming],How familiar are you with the following topics? [Handling tabular data],How familiar are you with the following topics? [Matrix algebra],How familiar are you with the following topics? [Handling image and video data],How familiar are you with the following topics? [Image classification],How familiar are you with the following topics? [Linear programming],How familiar are you with the following topics? [How to make a basic web app],How familiar are you with the following topics? [Handling genetic data],How familiar are you with the following topics? [Statistical hypothesis testing],How familiar are you with the following topics? [R programming],How familiar are you with the following topics? [Python programming]
8,3,9,9,9,9,9,5,1,5,Not so familiar,Not familiar at all,Somewhat familiar,Not so familiar,Very familiar,Somewhat familiar,Not familiar at all,Moderately familiar,Somewhat familiar,Not so familiar
1,1,3,3,1,4,5,5,5,5,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not so familiar,Not so familiar,Not so familiar
4,3,7,8,7,9,9,5,2,7,Not so familiar,Not familiar at all,Moderately familiar,Somewhat familiar,Somewhat familiar,Not so familiar,Not so familiar,Moderately familiar,Very familiar,Somewhat familiar
4,4,10,10,10,10,4,4,5,4,Somewhat familiar,Somewhat familiar,Very familiar,Moderately familiar,Moderately familiar,Moderately familiar,Moderately familiar,Somewhat familiar,Moderately familiar,Somewhat familiar
1,1,8,2,1,8,2,2,1,1,Not familiar at all,Not familiar at all,Somewhat familiar,Not so familiar,Not familiar at all,Moderately familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
2,1,9,8,3,5,9,6,3,1,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not so familiar,Somewhat familiar,Moderately familiar,Moderately familiar,Not familiar at all
6,6,7,7,7,7,7,7,7,7,Not so familiar,Not so familiar,Moderately familiar,Moderately familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Moderately familiar,Moderately familiar
5,5,7,7,3,6,4,3,4,3,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not so familiar,Not so familiar,Not familiar at all
7,3,5,3,3,4,5,2,2,2,Somewhat familiar,Not familiar at all,Not so familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not so familiar,Not so familiar,Not familiar at all
1,2,8,9,1,5,10,7,4,1,Not familiar at all,Not so familiar,Moderately familiar,Somewhat familiar,Not familiar at all,Not so familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Not familiar at all
1,1,1,1,1,5,1,1,1,1,Somewhat familiar,Somewhat familiar,Somewhat familiar,Not so familiar,Somewhat familiar,Not so familiar,Somewhat familiar,Not so familiar,Moderately familiar,Moderately familiar
4,4,6,5,5,6,6,6,4,6,Not familiar at all,Somewhat familiar,Not so familiar,Not familiar at all,Not familiar at all,Moderately familiar,Somewhat familiar,Very familiar,Somewhat familiar,Somewhat familiar
6,2,6,7,3,9,9,5,4,4,Somewhat familiar,Not familiar at all,Not so familiar,Not so familiar,Not familiar at all,Moderately familiar,Somewhat familiar,Somewhat familiar,Not so familiar,Not familiar at all
1,1,5,6,4,4,4,3,5,1,Not familiar at all,Not familiar at all,Moderately familiar,Moderately familiar,Not so familiar,Not so familiar,Not so familiar,Somewhat familiar,Somewhat familiar,Not familiar at all
4,6,4,3,5,6,7,4,5,2,Not so familiar,Not so familiar,Somewhat familiar,Not so familiar,Not so familiar,Not so familiar,Somewhat familiar,Not so familiar,Moderately familiar,Not so familiar
3,3,5,5,3,5,5,5,5,5,Not so familiar,Not so familiar,Not so familiar,Not so familiar,Not so familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Not so familiar
5,3,7,5,2,4,1,5,1,1,Not familiar at all,Somewhat familiar,Somewhat familiar,Somewhat familiar,Not familiar at all,Not so familiar,Not familiar at all,Moderately familiar,Not so familiar,Not familiar at all
2,2,4,5,4,5,8,7,2,2,Moderately familiar,Not familiar at all,Very familiar,Very familiar,Somewhat familiar,Not so familiar,Somewhat familiar,Very familiar,Moderately familiar,Not familiar at all
6,8,9,7,5,7,10,5,6,8,Very familiar,Moderately familiar,Somewhat familiar,Somewhat familiar,Very familiar,Moderately familiar,Somewhat familiar,Very familiar,Very familiar,Moderately familiar
2,2,4,4,2,4,4,1,1,1,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not so familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all